OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLASUBREG,NLASUBATTACH,NLAMTPAGATT,NLASUBREGINTROAM,NLAPAGREQ,NLASUCCPAGREQ,NSIMSUBATTACH,NUSIMSUBATTACH,NLASUBREGNAT,NLASUBREGATTNAT
4600021913,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,35208,33401,0,17,953,912,2448,1,0,0
4600054772,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600022167,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,19821,17981,0,13,1926,1849,8810,9171,0,0
4600021908,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,24439,21085,0,14,2504,2452,4570,16515,0,0
4600021915,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,19904,18011,0,8,2022,1930,3370,14641,0,0
4600021916,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,11232,9953,0,4,1081,1041,2081,7872,0,0
4600021917,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,18177,16353,0,15,1751,1678,4573,11780,0,0
4600021918,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,19164,17120,0,11,1377,1322,6142,10978,0,0
4600054769,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,28935,26148,0,18,2653,2563,6258,19890,0,0
4600021905,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,34682,29600,0,16,2097,2064,7150,22450,0,0
4600021906,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,9322,8452,0,5,925,889,1583,6869,0,0
4600022162,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,18653,16413,0,10,1533,1476,3965,12448,0,0
4600021913,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,24540,21904,0,12,2310,2232,7730,14174,0,0
4600054768,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,21137,17846,0,14,1820,1785,3882,13964,0,0
4600022161,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,8218,7399,0,3,774,750,996,6403,0,0
4600021912,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,25404,22650,0,13,2515,2383,3953,18697,0,0
4600054771,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600022164,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,17019,15465,0,5,1367,1327,3729,11736,0,0
4600021919,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,21499,19180,0,13,1846,1761,4743,14437,0,0
4600021914,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,21898,19535,0,4,1944,1883,4984,14551,0,0
4600022160,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,10352,9363,0,3,981,949,1860,7503,0,0
4600054772,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,1,1,0,0,0,0,0,1,0,0
4600054774,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,16037,15299,0,5,348,341,978,4,0,0
4600021914,20190209,1800-0491,386,,12165,11547,0,5,310,293,649,17,0,0
4600022160,20190209,1800-0491,386,,6596,6287,0,0,182,173,248,52,0,0
4600021919,20190209,1800-0491,386,,15955,15181,0,9,285,268,623,0,0,0
4600022164,20190209,1800-0491,386,,11572,11059,0,3,303,288,543,4,0,0
4600022169,20190209,1800-0491,386,,2,2,0,0,0,0,1,1,0,0
4600021908,20190209,1800-0491,386,,18464,17574,0,5,412,395,495,1621,0,0
4600021915,20190209,1800-0491,386,,8922,8425,0,1,359,328,314,1,0,0
4600021916,20190209,1800-0491,386,,5317,4965,0,0,241,217,236,10,0,0
4600021917,20190209,1800-0491,386,,12612,12018,0,26,287,244,570,2,0,0
4600054772,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,13618,12941,0,10,256,241,828,4,0,0
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,16056,15259,0,6,415,402,697,15,0,0
4600021905,20190209,1800-0491,386,,21082,19830,0,10,371,367,765,1983,0,0
4600022167,20190209,1800-0491,386,,10918,10393,0,1,292,276,1210,1,0,0
4600022162,20190209,1800-0491,386,,9676,9122,0,12,214,211,500,0,0,0
4600021906,20190209,1800-0491,386,,4689,4453,0,0,167,148,187,10,0,0
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,16301,15375,0,27,293,285,499,8,0,0
4600021912,20190209,1800-0491,386,,16621,15848,0,3,573,540,550,9,0,0
4600022161,20190209,1800-0491,386,,4754,4502,0,1,154,143,121,0,0,0
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
