EXCHID,注册用户数,开机用户数,开机用户比,EPC用户数,寻呼次数,寻呼成功次数,寻呼成功率
XUCGS1*79C/KD/03/03    ,536238,510456,95.19206024190751,406997,30513,27900,91.43643692852227
XUCGS2*79C/KD/03/03    ,505824,478364,94.57123426330108,356867,34086,31330,91.91456903127384
XUCGS6,666057,632235,94.92205622041357,486901,42838,39308,91.75965264484803
XUCGS7*79C/KD/03/03    ,354397,314459,88.73071724647782,0,78334,74535,95.15025404039115
OBJECTID,EXCHID,注册用户数,开机用户数,开机用户比,EPC用户数,寻呼次数,寻呼成功次数,寻呼成功率
4600021919,XUCGS1*79C/KD/03/03    ,39706,38092,95.93512315519065,31734,1841,1712,92.99293862031504
4600021919,XUCGS2*79C/KD/03/03    ,37658,35937,95.4299219289394,28175,2221,2058,92.66096352994147
4600021919,XUCGS6,48391,46026,95.11272757330909,36780,2681,2512,93.6963819470347
4600021919,XUCGS7*79C/KD/03/03    ,21499,19180,89.21345178845527,0,5011,4791,95.60965875074835
4600022160,XUCGS1*79C/KD/03/03    ,15960,15228,95.41353383458646,11579,1050,965,91.9047619047619
4600022160,XUCGS2*79C/KD/03/03    ,14405,13728,95.30024297119056,10080,944,879,93.11440677966102
4600022160,XUCGS6,19672,18787,95.50122000813339,14461,1277,1183,92.63899765074393
4600022160,XUCGS7*79C/KD/03/03    ,10352,9363,90.44629057187016,0,2355,2226,94.52229299363057
4600022161,XUCGS1*79C/KD/03/03    ,11190,10659,95.25469168900804,7692,904,808,89.38053097345133
4600022161,XUCGS2*79C/KD/03/03    ,10723,10167,94.81488389443254,7031,946,830,87.73784355179704
4600022161,XUCGS6,14337,13636,95.1105531143196,9731,1152,1031,89.49652777777779
4600022161,XUCGS7*79C/KD/03/03    ,8218,7399,90.03407155025553,0,1860,1775,95.43010752688173
4600022162,XUCGS1*79C/KD/03/03    ,25855,24578,95.06091665055115,19711,1310,1240,94.65648854961832
4600022162,XUCGS2*79C/KD/03/03    ,23771,22281,93.731858146481,16451,1440,1380,95.83333333333334
4600022162,XUCGS6,29387,27692,94.23214346479736,20930,2068,1956,94.58413926499033
4600022162,XUCGS7*79C/KD/03/03    ,18653,16413,87.99120784860344,0,3732,3575,95.79314040728832
4600022164,XUCGS1*79C/KD/03/03    ,25771,24635,95.59194443366574,18745,1784,1575,88.2847533632287
4600022164,XUCGS2*79C/KD/03/03    ,26147,24980,95.5367728611313,17887,1925,1669,86.7012987012987
4600022164,XUCGS6,34820,33199,95.3446295232625,24516,2550,2256,88.47058823529412
4600022164,XUCGS7*79C/KD/03/03    ,17019,15465,90.86902873259298,0,3637,3442,94.63843827330217
4600022167,XUCGS1*79C/KD/03/03    ,29414,28159,95.73332426735568,22215,1560,1461,93.65384615384616
4600022167,XUCGS2*79C/KD/03/03    ,26400,25264,95.69696969696969,18714,1583,1463,92.41945672773215
4600022167,XUCGS6,32970,31381,95.18046709129511,23622,2003,1882,93.95906140788817
4600022167,XUCGS7*79C/KD/03/03    ,19821,17981,90.71691640179608,0,4399,4188,95.203455330757
4600022169,XUCGS6,7,7,100.0,0,0,0,
4600054768,XUCGS1*79C/KD/03/03    ,0,0,,0,0,0,
4600054768,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054768,XUCGS6,0,0,,0,0,0,
4600054768,XUCGS7*79C/KD/03/03    ,0,0,,0,0,0,
4600054769,XUCGS1*79C/KD/03/03    ,0,0,,0,0,0,
4600054769,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054769,XUCGS6,0,0,,0,0,0,
4600054769,XUCGS7*79C/KD/03/03    ,0,0,,0,0,0,
4600054770,XUCGS1*79C/KD/03/03    ,0,0,,0,0,0,
4600054770,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054770,XUCGS6,0,0,,0,0,0,
4600054770,XUCGS7*79C/KD/03/03    ,0,0,,0,0,0,
4600054771,XUCGS1*79C/KD/03/03    ,0,0,,0,0,0,
4600054771,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054771,XUCGS6,0,0,,0,0,0,
4600054771,XUCGS7*79C/KD/03/03    ,0,0,,0,0,0,
4600054772,XUCGS1*79C/KD/03/03    ,1,0,0.0,0,0,0,
4600054772,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054772,XUCGS6,1,0,0.0,0,0,0,
4600054772,XUCGS7*79C/KD/03/03    ,1,1,100.0,0,0,0,
4600054774,XUCGS1*79C/KD/03/03    ,0,0,,0,0,0,
4600054774,XUCGS2*79C/KD/03/03    ,0,0,,0,0,0,
4600054774,XUCGS6,0,0,,0,0,0,
4600054774,XUCGS7*79C/KD/03/03    ,0,0,,0,0,0,
